Anime,Release_date,Length,Genre,Rating
Karakai Jouzu no Takagi-san,(2018-2022),23,"Animation, Comedy, Romance",7.7
Sakurasou no Pet na Kanojo,(2012-2013),24,"Animation, Comedy, Drama",7.7
High School DxD,(2012-2018),23,"Animation, Action, Comedy",7.6
Fire Force,(2019- ),23,"Animation, Action, Drama",7.6
Kangoku gakuen,(2015-2016),24,"Animation, Comedy",7.6
Tomo-chan Is a Girl!,-2023,23,"Animation, Comedy, Drama",7.6
Romantic Killer,-2022,24,"Animation, Comedy, Fantasy",7.6
Lycoris Recoil,-2022,24,"Animation, Action, Comedy",7.6
Battle of the Planets,(1978-1980),30,"Animation, Action, Adventure",7.6
Full Metal Panic!,(2002-2006),24,"Animation, Action, Adventure",7.6
Dejimon Teimâzu,(2001-2002),NA,"Animation, Action, Adventure",7.6
Goblin Slayer,(2018- ),30,"Animation, Action, Adventure",7.5
Sword Art Online,(2012- ),24,"Animation, Action, Adventure",7.5
Mirai nikki,(2011-2013),25,"Animation, Action, Drama",7.5
Otonari no tenshi-sama ni itsu no ma ni ka dame-ningen ni sareteita ken,-2023,NA,"Animation, Comedy, Romance",7.5
Kidô senshi Gandamu: Suisei no majo,(2022-2023),22,"Animation, Action, Drama",7.5
To aru kagaku no rêrugan,(2009-2020),24,"Animation, Action, Comedy",7.5
Ao Haru Ride,-2014,122,"Animation, Comedy, Drama",7.5
Beelzebub,(2011-2012),NA,"Animation, Action, Comedy",7.5
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,(2015-2023),24,"Animation, Action, Adventure",7.4
Call of the Night,-2022,23,"Animation, Comedy, Fantasy",7.4
"Fuufu Ijou, Koibito Miman.",-2022,24,"Animation, Comedy, Drama",7.4
Astro Boy,(1963-1965),30,"Animation, Action, Adventure",7.4
Free!,(2013-2018),24,"Animation, Comedy, Drama",7.4
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,(2020-2023),23,"Animation, Action, Adventure",7.4
